"title","abstract","date","source","origin_of_life","synthetic_biology","dominant_theme"
"An RNA condensate model for the origin of life","Abstract:                _widespread support for the RNA World, self-replicating RNAs have yet to be identified in a natural context, leaving a key 'missing link' for this explanation of the origin of_         _ More           The RNA World hypothesis predicts that self-replicating RNAs evolved before DNA genomes and coded proteins. Despite widespread support for the RNA World, self-replicating RNAs have yet to be identified in a natural context, leaving a key 'missing link' for this explanation of the origin of life. Inspired by recent work showing that condensates of charged polymers can create electrochemical gradients capable of catalyzing hydrolysis, we consider a catalytic RNA condensate as a candidate for the self-replicating RNA. We develop a theoretical framework where an RNA condensate formed by the spontaneous demixing of disordered RNA sequences undergoes self-replicative amplification. Our theory addresses two central problems in the origins of life: (i) the origin of compartmentalization and (ii) the error threshold for the accuracy of templated replication. We show that many of the needed properties of this self-replicating RNA condensate have been realized experimentally in recent studies and can be formalized within a standard polymer physics framework. Specifically, we propose that short, low-complexity RNA polymers formed catalytic condensates capable of templated RNA polymerization. Because the condensate properties depend on the RNA sequences, RNAs that formed condensates with improved polymerization and demixing capacity would be amplified, leading to a 'condensate chain reaction' and evolution by natural selection. We believe this prediction could be tested with current experimental and theoretical tools. Furthermore, we note that the extant nucleolus appears to satisfy many of the requirements of an evolutionary relic for the model we propose. More generally, we suggest that future work on the origin of life would benefit from condensate-centric biophysical models of RNA evolution.         _ Less","","arXiv","2","3","synthetic_biology"
"Low-Energy Cosmic Rays and Associated MeV Gamma-Ray Emissions in the Protoplanetary System","Abstract:                _environment at that time. This method, supported by further theoretical developments and observations, will fundamentally enhance our understanding of the impact of CRs on the origin and evolution of planetary systems and address significant scientific questions regarding the cosmic ray environment at the_         _ More           Low-energy cosmic rays (LECRs) play a crucial role in the formation of planetary systems, and detecting and reconstructing the properties of early LECRs is essential for understanding the mechanisms of planetary system formation. Given that LECRs interact with the surrounding medium to produce nuclear de-excitation line emissions, which are gamma-ray emissions with energy mainly within 0.1--10 MeV and are unaffected by stellar wind modulation, these emissions can accurately reflect the properties of LECRs. This study introduces an innovative method for using gamma-ray emissions to infer LECR properties. We employed the Parker transport equation to simulate the propagation and spectral evolution of LECRs in a protoplanetary disk and calculated the characteristic gamma-ray emissions resulting from interactions between LECRs and disk material. These gamma-ray emissions encapsulate the spectral information of LECRs, providing a powerful tool to reconstruct the cosmic ray environment at that time. This method, supported by further theoretical developments and observations, will fundamentally enhance our understanding of the impact of CRs on the origin and evolution of planetary systems and address significant scientific questions regarding the cosmic ray environment at the origin of life.         _ Less","","arXiv","2","1","origin_of_life"
"Quantum evolution: terrestrial fine-tuning of magnetic parameters","Abstract:                _might conceivably begin to imagine itself as a multi-planetary species. This goal will entail technical innovation in a number of contexts, including that of healthcare. All life on Earth shares an evolution that is coupled to specific environmental conditions, including gravitational and magnetic fields. While the human body may be able to adjust to short t_         _ More           For the first time in history, humankind might conceivably begin to imagine itself as a multi-planetary species. This goal will entail technical innovation in a number of contexts, including that of healthcare. All life on Earth shares an evolution that is coupled to specific environmental conditions, including gravitational and magnetic fields. While the human body may be able to adjust to short term disruption of these fields during space flights, any long term settlement would have to take into consideration the effects that different fields will have on biological systems, within the space of one lifetime, but also across generations. Magnetic fields, for example, influence the growth of stem cells in regenerative processes. Circadian rhythms are profoundly influenced by magnetic fields, a fact that will likely have an effect on mental as well as physical health. Even the brain responds to small perturbations of this field. One possible mechanism for the effects of weak magnetic fields on biological systems has been suggested to be the radical pair mechanism. The radical pair mechanism originated in the context of spin chemistry to describe how magnetic fields influence the yields of chemical reactions. This mechanism was subsequently incorporated into the field of quantum biology. Quantum biology, most generally, is the study of whether non-trivial quantum effects play any meaningful role in biological systems. The radical pair mechanism has been used most consistently in this context to describe the avian compass. Recently, however, a number of studies have investigated other biological contexts in which the radical pair might play a role, from the action of anaesthetics and antidepressants, to microtubule development and the proper function of the circadian clock... (full abstract in the manuscript)         _ Less","","arXiv","0","2","synthetic_biology"
"Setting the stage: Building and maintaining a habitable world and the early conditions that could favor life's beginnings on Earth and beyond","Abstract:                The Hadean, once thought to be uninhabitable and tumultuous, has more recently been recontextualized as a clement time in which oceans, land, and life likely appeared on Earth. This non-exhaustive chapter follows multiple threads from planet formation to the_         _ More           The Hadean, once thought to be uninhabitable and tumultuous, has more recently been recontextualized as a clement time in which oceans, land, and life likely appeared on Earth. This non-exhaustive chapter follows multiple threads from planet formation to the origin of life. We place significant emphasis on the solar system context for the Earth, the timing and nature of crustal formation and the evolution of the surface and atmosphere. Several scenarios for prebiotic chemistry are also discussed including atmospheric photochemistry, wet-dry and freeze-thaw cycles, and hydrothermal vent systems. We attempt to draw connections between the large-scale, planetary processes and various origin of life pathways to illustrate possible overlaps and correlations. In detail, we conclude with and discuss the 'impact of impacts' to show how asteroid and comet impacts during the Hadean may have affected many of these processes and scenarios, from generating land to altering the chemical composition and oxidation state of the early Earth's atmosphere and surface.         _ Less","","arXiv","3","1","origin_of_life"
"Modifications of SPH towards three-dimensional simulations of an icy moon with internal ocean","Abstract:                _icy moons, such as the vapor plumes of Europa and Enceladus. This implies a region of liquid water beneath the surface ice shell. Since liquid water would be essential for the origin of life, it is important to understand the development of these internal oceans, particularly their temperature distribution and evolutio_         _ More           There are some traces of the existence of internal ocean in some icy moons, such as the vapor plumes of Europa and Enceladus. This implies a region of liquid water beneath the surface ice shell. Since liquid water would be essential for the origin of life, it is important to understand the development of these internal oceans, particularly their temperature distribution and evolution. The balance between tidal heating and radiative cooling is believed to sustain liquid water beneath an icy moon's surface. We aim to simulate the tidal heating of an internal ocean in an icy moon using 3-dimensional numerical fluid calculations with the Smoothed Particle Hydrodynamics (SPH) method. We incorporated viscosity and thermal conduction terms into the governing equations of SPH. However, we encountered two issues while calculating rigid body rotation using SPH with a viscous term: (1) conventional viscosity formulations generated unphysical forces that hindered rotation, and (2) there was artificial internal energy partitioning within the layered structure, which was due to the standard SPH formulations. To address the first issue, we modified the viscosity formulation.For the second, we adopted Density Independent SPH (DISPH) developed in previous studies to improve behavior at discontinuous surfaces. Additionally, we implemented radiative cooling using an algorithm to define fluid surfaces via the particle method. We also introduced an equation of state accounting for phase transitions. With these modifications, we have refined the SPH method to encompass all necessary physical processes for simulating the evolution of icy moons with internal oceans.         _ Less","","arXiv","1","1","multiple"
"BRITE nascent binaries","Abstract:                _secondary is a star contracting onto the main sequence. NBs are of interest because they can help to understand the formation of small-mass ratio systems and shed light on the origin of low-mass X-ray binaries, millisecond pulsars and type Ia supernovae. In photometry, short-period NBs show a strong irradiation effect due to the large difference between the_         _ More           Nascent binaries (NBs) are binary systems with very low mass ratios, less than ~0.2, in which the more massive component is an O- or B-type main-sequence star, while the secondary is a star contracting onto the main sequence. NBs are of interest because they can help to understand the formation of small-mass ratio systems and shed light on the origin of low-mass X-ray binaries, millisecond pulsars and type Ia supernovae. In photometry, short-period NBs show a strong irradiation effect due to the large difference between the effective temperatures of the components and the strong irradiation of a cool secondary by a hot primary. In spectroscopy, they usually appear as single-lined spectroscopic binaries. In the present paper, we summarize the status of our knowledge of Galactic nascent binaries and characterize two new members of this group, c2 Sco and V390 Pup, for which photometric data were obtained by the BRIght Target Explorer (BRITE) nano-satellite mission.         _ Less","","arXiv","1","0","origin_of_life"
"Large Interferometer For Exoplanets (LIFE). XIV. Finding terrestrial protoplanets in the galactic neighborhood","Abstract:                _to distances from the solar system far greater than thermally equilibrated terrestrial exoplanets, offering observational opportunities for unique insights into the origin of secondary atmospheres and the near surface conditions of prebiotic environments. The Large Interferometer For Exoplanets (_         _ More           The increased brightness temperature of young rocky protoplanets during their magma ocean epoch makes them potentially amenable to atmospheric characterization to distances from the solar system far greater than thermally equilibrated terrestrial exoplanets, offering observational opportunities for unique insights into the origin of secondary atmospheres and the near surface conditions of prebiotic environments. The Large Interferometer For Exoplanets (LIFE) mission will employ a space-based mid-infrared nulling interferometer to directly measure the thermal emission of terrestrial exoplanets. Here, we seek to assess the capabilities of various instrumental design choices of the LIFE mission concept for the detection of cooling protoplanets with transient high-temperature magma ocean atmospheres, in young stellar associations in particular. Using the LIFE mission instrument simulator (LIFEsim) we assess how specific instrumental parameters and design choices, such as wavelength coverage, aperture diameter, and photon throughput, facilitate or disadvantage the detection of protoplanets. We focus on the observational sensitivities of distance to the observed planetary system, protoplanet brightness temperature using a blackbody assumption, and orbital distance of the potential protoplanets around both G- and M-dwarf stars. Our simulations suggest that LIFE will be able to detect (S/N $\\geq$ 7) hot protoplanets in young stellar associations up to distances of $\\approx$100 pc from the solar system for reasonable integration times (up to $\\sim$hours). Detection of an Earth-sized protoplanet orbiting a solar-sized host star at 1 AU requires less than 30 minutes of integration time. M-dwarfs generally need shorter integration times. The contribution from wavelength regions $<$6 $_$m is important for decreasing the detection threshold and discriminating emission temperatures.         _ Less","","arXiv","1","0","origin_of_life"
"Theory for sequence selection via phase separation and oligomerization","Abstract:                _highlight that out-of-equilibrium condensed phases could provide versatile hubs for Darwinian-like evolution toward functional sequences, both relevant for the molecular origin of life and de novo life.         _ More           Non-equilibrium selection pressures were proposed for the formation of oligonucleotides with rich functionalities encoded in their sequences, such as catalysis. Since phase separation was shown to direct various chemical processes, we ask whether condensed phases can provide mechanisms for sequence selection. To answer this question, we use non-equilibrium thermodynamics and describe the reversible oligomerization of different monomers to sequences at non-dilute conditions prone to phase separation. We find that when sequences oligomerize, their interactions give rise to phase separation, boosting specific sequences' enrichment and depletion. Our key result is that phase separation gives rise to a selection pressure for the oligomerization of specific sequence patterns when fragmentation maintains the system away from equilibrium. Specifically, slow fragmentation favors alternating sequences that interact well with their environment (more cooperative), while fast fragmentation selects sequences with extended motifs capable of specific sequence interactions (less cooperative). Our results highlight that out-of-equilibrium condensed phases could provide versatile hubs for Darwinian-like evolution toward functional sequences, both relevant for the molecular origin of life and de novo life.         _ Less","","arXiv","2","1","origin_of_life"
"Systematic Feature Design for Cycle Life Prediction of Lithium-Ion Batteries During Formation","Abstract:                _manufacturing is challenging due to limited physical understanding of solid electrolyte interphase formation and the long testing time (~100 days) for cells to reach the end of life. We propose a systematic feature design framework that requires minimal domain knowledge for accurate cycle_         _ More           Optimization of the formation step in lithium-ion battery manufacturing is challenging due to limited physical understanding of solid electrolyte interphase formation and the long testing time (~100 days) for cells to reach the end of life. We propose a systematic feature design framework that requires minimal domain knowledge for accurate cycle life prediction during formation. Two simple Q(V) features designed from our framework, extracted from formation data without any additional diagnostic cycles, achieved a median of 9.20% error for cycle life prediction, outperforming thousands of autoML models using pre-defined features. We attribute the strong performance of our designed features to their physical origins - the voltage ranges identified by our framework capture the effects of formation temperature and microscopic particle resistance heterogeneity. By designing highly interpretable features, our approach can accelerate formation research, leveraging the interplay between data-driven feature design and mechanistic understanding.         _ Less","","arXiv","1","0","origin_of_life"
"Extragalactic fast X-ray transient from a weak relativistic jet associated with a Type Ic-BL supernova","Abstract:                Massive stars end their life as core-collapse supernovae, amongst which some extremes are Type Ic broad-lined supernovae associated with long-duration gamma-ray bursts (LGRBs) having powerful relativistic jets. Their less-extreme brethren make unsuccessful jets that are choked inside the stars, appearing as X-ray flashes or low-luminosity GRBs. On the other_         _ More           Massive stars end their life as core-collapse supernovae, amongst which some extremes are Type Ic broad-lined supernovae associated with long-duration gamma-ray bursts (LGRBs) having powerful relativistic jets. Their less-extreme brethren make unsuccessful jets that are choked inside the stars, appearing as X-ray flashes or low-luminosity GRBs. On the other hand, there exists a population of extragalactic fast X-ray transients (EFXTs) with timescales ranging from seconds to thousands of seconds, whose origins remain obscure. Known sources that contribute to the observed EFXT population include the softer analogs of LGRBs, shock breakouts of supernovae, or unsuccessful jets. Here, we report the discovery of the bright X-ray transient EP240414a detected by the Einstein Probe (EP), which is associated with the Type Ic supernova SN 2024gsa at a redshift of 0.401. The X-ray emission evolution is characterised by a very soft energy spectrum peaking at < 1.3 keV, which makes it distinct from known LGRBs, X-ray flashes, or low-luminosity GRBs. Follow-up observations at optical and radio bands revealed the existence of a weak relativistic jet that interacts with an extended shell surrounding the progenitor star. Located on the outskirts of a massive galaxy, this event reveals a new population of explosions of Wolf-Rayet stars characterised by a less powerful engine that drives a successful but weak jet, possibly owing to a progenitor star with a smaller core angular momentum than in traditional LGRB progenitors.         _ Less","","arXiv","0","1","synthetic_biology"
"The GALAH Survey: Data Release 4","Abstract:                _satellite. For the first time, these elements include life-essential nitrogen to complement carbon, and oxygen as well as more measurements of rare-earth elements critical to modern-life electronics, offering unparalleled insights into the chemical composition of the Milky Way.   For this release, we use neural networ_         _ More           The stars of the Milky Way carry the chemical history of our Galaxy in their atmospheres as they journey through its vast expanse. Like barcodes, we can extract the chemical fingerprints of stars from high-resolution spectroscopy. The fourth data release (DR4) of the Galactic Archaeology with HERMES (GALAH) Survey, based on a decade of observations, provides the chemical abundances of up to 32 elements for 917 588 stars that also have exquisite astrometric data from the $Gaia$ satellite. For the first time, these elements include life-essential nitrogen to complement carbon, and oxygen as well as more measurements of rare-earth elements critical to modern-life electronics, offering unparalleled insights into the chemical composition of the Milky Way.   For this release, we use neural networks to simultaneously fit stellar parameters and abundances across the full spectrum, leveraging synthetic grids computed with Spectroscopy Made Easy. These grids account for atomic line formation in non-local thermodynamic equilibrium for 14 elements. In a two-iteration process, we first fit stellar labels for all 1 085 520 spectra, then co-add repeated observations and refine these labels using astrometric data from $Gaia$ and 2MASS photometry, improving the accuracy and precision of stellar parameters and abundances. Our validation thoroughly assesses the reliability of spectroscopic measurements and highlights key caveats for catalogue users.   GALAH DR4 represents yet another milestone in Galactic archaeology, combining detailed chemical compositions from multiple nucleosynthetic channels with kinematic information and age estimates. The resulting dataset, covering nearly a million stars, opens new avenues for understanding not only the chemical and dynamical history of the Milky Way, but also the broader questions of the origin of elements and the evolution of planets, stars, and galaxies.         _ Less","","arXiv","1","1","multiple"
"Life in the Bubble: How a nearby supernova left ephemeral footprints on the cosmic-ray spectrum and indelible imprints on life","Abstract:                _crust have been interpreted by the imprints left by the ejecta of supernova explosions occurring about 2-3 and 5-6 Myr ago. It is likely that the 60Fe peak at about 2-3 Myr originated from a supernova occurring in the Upper Centaurus Lupus association in Scorpius Centaurus (140 pc) or the Tucana Horologium association (70 pc). Whereas, the 5-6 Myr peak is li_         _ More           The Earth sits inside a 300pc-wide void that was carved by a series of supernova explosions that went off tens of millions of years ago, pushing away interstellar gas and creating a bubble-like structure. The 60Fe peak deposits found in the deep-sea crust have been interpreted by the imprints left by the ejecta of supernova explosions occurring about 2-3 and 5-6 Myr ago. It is likely that the 60Fe peak at about 2-3 Myr originated from a supernova occurring in the Upper Centaurus Lupus association in Scorpius Centaurus (140 pc) or the Tucana Horologium association (70 pc). Whereas, the 5-6 Myr peak is likely attributed to the solar system's entrance into the bubble. In this Letter, we show that the supernova source responsible for synthesizing the 60Fe peak deposits 2-3 Myr ago was also likely a Galactic PeVatron source. We demonstrate that this supernova can consistently explain the 'knee' in the cosmic-ray spectrum and the large-scale anisotropy between 100 TeV and 100 PeV. Matching the intensity and shape of the cosmic-ray spectrum allows us to place stringent constraints on the cosmic-ray energy content from the supernova as well as on the cosmic-ray diffusion coefficient. Making use of such constraints we provide a robust estimate of the temporal variation of terrestrial ionizing cosmic radiation levels and discuss their implications in the development of early life on Earth by plausibly influencing the mutation rate and, as such, conceivably assisting in the evolution of complex organisms.         _ Less","","arXiv","1","1","multiple"
"Self-oxidation of the atmospheres of rocky planets with implications for the origin of life","Abstract:                _which dissolves as nitrate in the oceans, and interplanetary dust particles may be the main sources of fixed nitrogen to emerging biospheres. Our results highlight the need for origin-of-life scenarios where the first metabolism fixes its C from CO$_2$, rather than from HCN and CO.         _ More           Rocky planets may acquire a primordial atmosphere by outgassing of volatiles from their magma ocean. The distribution of O between H$_2$O, CO and CO$_2$ in chemical equilibrium subsequently changes significantly with decreasing temperature. We explore here two chemical models: one where CH$_4$ and NH$_3$ are assumed to be irrevocably destroyed by photolysis, and one where these molecules persist. In the first case, we show that CO cannot co-exist with H$_2$O, since CO oxidizes at low temperatures to form CO$_2$ and H$_2$. In both cases, H escapes from the thermosphere within a few ten million years by absorption of stellar XUV radiation. This escape drives an atmospheric self-oxidation process whereby rocky planet atmospheres become dominated by CO$_2$ and H$_2$O, regardless of their initial oxidation state at outgassing. HCN is considered a potential precursor of prebiotic compounds and RNA. Our oxidizing atmospheres are inefficient at producing HCN by lightning. Instead, we demonstrate that lightning-produced NO, which dissolves as nitrate in the oceans, and interplanetary dust particles may be the main sources of fixed nitrogen to emerging biospheres. Our results highlight the need for origin-of-life scenarios where the first metabolism fixes its C from CO$_2$, rather than from HCN and CO.         _ Less","","arXiv","2","1","origin_of_life"
"Minor planets, asteroids, comets and interplanetary dust within 30 au","Abstract:                _collectively known as the small Solar System bodies. Small bodies are relics from the birth of the Solar System and offer valuable insights into planetary formation and the origins of life. This chapter explores this important component of our Solar System, discussing the formation and evolution of key small body popu_         _ More           Our Solar System includes the Sun, eight major planets and their moons, along with numerous asteroids, comets, and dust particles, collectively known as the small Solar System bodies. Small bodies are relics from the birth of the Solar System and offer valuable insights into planetary formation and the origins of life. This chapter explores this important component of our Solar System, discussing the formation and evolution of key small body populations and their interrelations.         _ Less","","arXiv","1","1","multiple"
"The Spatial Distribution of $\\rm CH_4$ and $\\rm CO_2$ Ice around Protostars IRAS 16253-2429 and IRAS 23385+6053","Abstract:                The origin and evolution of organic molecules represent a pivotal issue in the fields of astrobiology and astrochemistry, potentially shedding light on the origins of life. The James Webb Space Telescope (JWST), with its exceptional sensitivity and spectral resolution, is well su_         _ More           The origin and evolution of organic molecules represent a pivotal issue in the fields of astrobiology and astrochemistry, potentially shedding light on the origins of life. The James Webb Space Telescope (JWST), with its exceptional sensitivity and spectral resolution, is well suitable to observe molecules such as methane ($\\rm CH_4$). Our analysis focused on the distribution of $\\rm CH_4$, $\\rm CO_2$, $\\rm H_2O$, $\\rm{CH_3OH+NH_4^+}$ ice and silicate absorption dips at approximately 7.7, 15.0, 6.0, 6.7 and 10.0 micrometres in two protostars: IRAS 16253-2429 and IRAS 23385+6053. We extract the $\\rm CH_4$, $\\rm CO_2$, $\\rm H_2O$, $\\rm{CH_3OH+NH_4^+}$ ice equivalent width (EW) maps and silicate extinction maps of the two sources. Our results reveal that the spatial distribution of $\\rm CH_4$ in the protostellar system IRAS 16253-2429 closely mirrors that of its $\\rm CO_2$ ice, forming a surrounded distribution that encircles the central protostar. This alignment suggests a common formation mechanism and subsequent trapping within the protostellar envelope, which is consistent with the 'Classical' dark-cloud chemistry with ion-molecule reaction. In contrast, the spatial distributions of various molecules in the system IRAS 23385+6053 exhibit low similarities, which may be attributed to the dynamic influences of outflows or accretion processes. These discrepancies highlight the complex interplay between physical processes and chemical evolution in protostellar environments.         _ Less","","arXiv","2","1","origin_of_life"
"Feature Compression for Cloud-Edge Multimodal 3D Object Detection","Abstract:                Machine vision systems, which can efficiently manage extensive visual perception tasks, are becoming increasingly popular in industrial production and daily life. Due to the challenge of simultaneously obtaining accurate depth and texture information with a single sensor, multimodal data captured by cameras and LiDAR is commonly used to enhance performance._         _ More           Machine vision systems, which can efficiently manage extensive visual perception tasks, are becoming increasingly popular in industrial production and daily life. Due to the challenge of simultaneously obtaining accurate depth and texture information with a single sensor, multimodal data captured by cameras and LiDAR is commonly used to enhance performance. Additionally, cloud-edge cooperation has emerged as a novel computing approach to improve user experience and ensure data security in machine vision systems. This paper proposes a pioneering solution to address the feature compression problem in multimodal 3D object detection. Given a sparse tensor-based object detection network at the edge device, we introduce two modes to accommodate different application requirements: Transmission-Friendly Feature Compression (T-FFC) and Accuracy-Friendly Feature Compression (A-FFC). In T-FFC mode, only the output of the last layer of the network's backbone is transmitted from the edge device. The received feature is processed at the cloud device through a channel expansion module and two spatial upsampling modules to generate multi-scale features. In A-FFC mode, we expand upon the T-FFC mode by transmitting two additional types of features. These added features enable the cloud device to generate more accurate multi-scale features. Experimental results on the KITTI dataset using the VirConv-L detection network showed that T-FFC was able to compress the features by a factor of 6061 with less than a 3% reduction in detection performance. On the other hand, A-FFC compressed the features by a factor of about 901 with almost no degradation in detection performance. We also designed optional residual extraction and 3D object reconstruction modules to facilitate the reconstruction of detected objects. The reconstructed objects effectively reflected details of the original objects.         _ Less","","arXiv","1","0","origin_of_life"
"Transformations to simplify phylogenetic networks","Abstract:                _However, a tree fails to capture ancestral reticulate processes, such as the formation of hybrid species or lateral gene transfer events between lineages, and so the history of life is more accurately described by a rooted phylogenetic network. Nevertheless, phylogenetic networks may be complex and difficult to interpret, so biologists sometimes prefer a tr_         _ More           The evolutionary relationships between species are typically represented in the biological literature by rooted phylogenetic trees. However, a tree fails to capture ancestral reticulate processes, such as the formation of hybrid species or lateral gene transfer events between lineages, and so the history of life is more accurately described by a rooted phylogenetic network. Nevertheless, phylogenetic networks may be complex and difficult to interpret, so biologists sometimes prefer a tree that summarises the central tree-like trend of evolution. In this paper, we formally investigate methods for transforming an arbitrary phylogenetic network into a tree (on the same set of leaves) and ask which ones (if any) satisfy a simple consistency condition. This consistency condition states that if we add additional species into a phylogenetic network (without otherwise changing this original network) then transforming this enlarged network into a rooted phylogenetic tree induces the same tree on the original set of species as transforming the original network. We show that the LSA (lowest stable ancestor) tree method satisfies this consistency property, whereas several other commonly used methods (and a new one we introduce) do not. We also briefly consider transformations that convert arbitrary phylogenetic networks to another simpler class, namely normal networks.         _ Less","","arXiv","1","2","synthetic_biology"
